Day,Data Type,Mean Gauge (m),Discharge (cumecs),Observed/Computed
01-01-2005,HZS,2.99,54.473,O
02-01-2005,HZS,2.99,54.27,C
03-01-2005,HZS,2.99,54.033,O
04-01-2005,HZS,3,55.476,O
05-01-2005,HZS,3.02,58.202,O
06-01-2005,HZS,2.975,52.496,O
07-01-2005,HZS,3,55.435,O
08-01-2005,HZS,2.95,49.122,O
09-01-2005,HZS,2.87,37.55,C
10-01-2005,HZS,2.82,31.271,O
11-01-2005,HZS,2.85,34.691,O
12-01-2005,HZS,2.83,32.516,O
13-01-2005,HZS,2.92,45.137,O
14-01-2005,HZS,2.92,44.14,C
15-01-2005,HZS,2.94,45.742,O
16-01-2005,HZS,2.87,37.55,C
17-01-2005,HZS,2.81,30.83,O
18-01-2005,HZS,2.87,37.723,O
19-01-2005,HZS,2.89,40.268,O
20-01-2005,HZS,2.9,40.728,O
21-01-2005,HZS,2.95,48.35,C
22-01-2005,HZS,2.92,45.185,O
23-01-2005,HZS,2.95,48.35,C
24-01-2005,HZS,2.92,45.154,O
25-01-2005,HZS,2.85,34.76,O
26-01-2005,HZS,2.81,30.37,C
27-01-2005,HZS,2.85,34.799,O
28-01-2005,HZS,2.83,31.845,O
29-01-2005,HZS,2.86,35.48,O
30-01-2005,HZS,2.8,29.25,C
31-01-2005,HZS,2.795,29.203,O
01-02-2005,HZS,2.8,29.229,O
02-02-2005,HZS,2.82,30.082,O
03-02-2005,HZS,2.94,45.648,O
04-02-2005,HZS,3.01,57.621,O
05-02-2005,HZS,3,55.793,O
06-02-2005,HZS,2.94,46.92,C
07-02-2005,HZS,2.92,45.136,O
08-02-2005,HZS,2.875,39.145,O
09-02-2005,HZS,2.9,42.837,O
10-02-2005,HZS,2.88,40.439,O
11-02-2005,HZS,2.82,30.292,O
12-02-2005,HZS,2.85,34.722,O
13-02-2005,HZS,2.86,36.3,C
14-02-2005,HZS,2.78,27.279,O
15-02-2005,HZS,2.79,29.522,O
16-02-2005,HZS,2.775,25.45,O
17-02-2005,HZS,2.84,35.05,O
18-02-2005,HZS,2.8,29.332,O
19-02-2005,HZS,2.81,30.567,O
20-02-2005,HZS,2.75,23.96,C
21-02-2005,HZS,2.83,32.746,O
22-02-2005,HZS,2.795,28.626,O
23-02-2005,HZS,2.78,26.519,O
24-02-2005,HZS,2.76,25.107,O
25-02-2005,HZS,2.79,28.2,O
26-02-2005,HZS,2.825,32.113,O
27-02-2005,HZS,2.79,28.15,C
28-02-2005,HZS,2.825,32.069,O
01-03-2005,HZS,2.83,32.648,O
02-03-2005,HZS,2.86,36.44,O
03-03-2005,HZS,2.84,34.09,O
04-03-2005,HZS,2.86,37.154,O
05-03-2005,HZS,2.9,42.122,O
06-03-2005,HZS,2.87,37.55,C
07-03-2005,HZS,2.88,40.425,O
08-03-2005,HZS,2.95,48.485,O
09-03-2005,HZS,2.92,43.886,O
10-03-2005,HZS,2.908,40.905,O
11-03-2005,HZS,2.87,37.211,O
12-03-2005,HZS,2.88,38.83,C
13-03-2005,HZS,2.92,44.14,C
14-03-2005,HZS,2.88,38.83,C
15-03-2005,HZS,2.885,40.36,O
16-03-2005,HZS,2.88,38.966,O
17-03-2005,HZS,2.835,33.025,O
18-03-2005,HZS,2.78,27.117,O
19-03-2005,HZS,2.76,25.137,O
20-03-2005,HZS,2.76,24.98,C
21-03-2005,HZS,2.78,27.127,O
22-03-2005,HZS,2.8,29.352,O
23-03-2005,HZS,2.76,25.149,O
24-03-2005,HZS,2.83,32.717,O
25-03-2005,HZS,2.85,35.07,C
26-03-2005,HZS,2.86,36.383,O
27-03-2005,HZS,2.88,38.83,C
28-03-2005,HZS,2.87,37.603,O
29-03-2005,HZS,2.875,38.203,O
30-03-2005,HZS,2.88,38.756,O
31-03-2005,HZS,2.835,33.126,O
01-04-2005,HZS,2.9,40.959,O
02-04-2005,HZS,2.91,42.005,O
03-04-2005,HZS,2.92,44.14,C
04-04-2005,HZS,2.9,41.402,O
05-04-2005,HZS,2.89,39.795,O
06-04-2005,HZS,2.85,35.251,O
07-04-2005,HZS,2.86,35.939,O
08-04-2005,HZS,3.3,112.1,C
09-04-2005,HZS,3.1,72.37,C
10-04-2005,HZS,3.13,77.77,C
11-04-2005,HZS,3,56.139,O
12-04-2005,HZS,2.9,41.285,O
13-04-2005,HZS,2.83,32.866,O
14-04-2005,HZS,2.98,52.76,C
15-04-2005,HZS,2.98,52.982,O
16-04-2005,HZS,2.9,41.418,O
17-04-2005,HZS,2.89,40.12,C
18-04-2005,HZS,2.82,31.606,O
19-04-2005,HZS,2.795,28.427,O
20-04-2005,HZS,2.79,27.941,O
21-04-2005,HZS,2.76,24.923,O
22-04-2005,HZS,2.73,22,C
23-04-2005,HZS,2.74,23.319,O
24-04-2005,HZS,2.7,19.22,C
25-04-2005,HZS,2.71,20.152,O
26-04-2005,HZS,2.8,29.173,O
27-04-2005,HZS,2.84,33.944,O
