Sr.No	PIC	Name of Dam	Latitude	Longitude	Year of Completion	River Basin	River	Neareast City	Seismic Zone	Dam Type	Height above Lowest Foundation Level	Dam Length	Volume Content of Dam	Gross Storage Capacity	Reservoir Area	Effective Storage Capacity	Purpose	Designed Spillway Capacity
100	MH09VH0100	KOYNA	17.40194444	73.75222222	1964	Krishna	Koyna.	Patan.	IV	Composite_Concrete_and_Masonry	103.02	807.72	1555000	2980680000	119688100	2835540000	I/H	5082
590	MH09HH0597	JAYAKWADI	19.48575	75.36888889	1976	Godavari	Godavari.	Paithan	II	Earthfill_Embankment	41.30	10415	13410000	2909000000	3500000000	2170930000	I/H	18153
833	MH09HH0843	UJJANI	18.07472222	75.12111111	1980	Krishna	Bhima	Madha.	III	Other	56.40	3141.4	3320000	3320010000	290000000	1517200000	I/S	18010.00
1216	MH09HH1229	TOTLADOH	21.65888889	79.23194444	1989	Godavari	Pench	Ramtek	II	Earthfill_Embankment	74.5	3061	972000	1166930000	77710000	1016930000	H	12072
936	MH09HH0947	ISAPUR	19.7175	77.42555556	1982	Godavari	Penganga	Pusad	II	Other	48	4088.5	117000	1279000000	96270000	964000000	I	10480
999	MH09HH1011	BHATSA	19.51305556	73.4175	1983	West Flowing Rivers from Tapi to Tadri	Bhatsa and Chorna	Shahapur	III	Other	88.5	959	18250000	976100000	27250000	942100000	I	5342
2188	MH09HH2227	Lower Penganga	19.74194444	77.86805556		Godavari	Penganga	Ghatanji	II	Earthfill_Embankment	35.63	1998	975340	1045370000	159510000	864800000		34768.69
1693	MH09LH1710	ARLI	17.86472222	76.12666667	1990	Krishna	Local Nala	Tuljapur	III	Earthfill_Embankment	12.35	771.00	83870	888000000	360000	815000000	I	132.00
170	MH09HH0171	YELDARI	19.71972222	76.73194444	1968	Godavari	Purna	Jintur	II	Earthfill_Embankment	51.2	4432	596060	934440000	101540000	809770000	I/H	10477.13
651	MH09MH0658	YEDGAON	19.17277778	74.01944444	1977	Krishna	Kukadi	Junnar	III	Other	24.6	4470	1004000	934320000	14980000	792760000	I	3844.00
1528	MH09HH1542	WARANA	19.51472222	76.66777778	2000	Krishna	Warna river	Shahuwadi	IV	Composite_Concrete_and_Earth_fill	88.80	1580.00	21219000	974188000	2889000	779348000	I/H/S	3222
1782	MH09MH1817	GOSI (KD)	20.87472222	79.60861111		Godavari	Wainganga	Bhivapur	II	Composite_Concrete_and_Earth_fill	22.5	11356		1146075000	222580000	740168000	I/H/S/D	67373
1213	MH09HH1226	DUDHAGANGA	21.65833333	79.29416667	1999	Krishna	Dudhaganga	Radhanagari	III	Other	75	1280	150000	719120000	25360000	679110000	I/H	2247
48	MH09HH0048	BHATGHAR	18.175	73.86666667	1927	Krishna	Local Nala	Bhor	III	Masonry_Gravity	57.92	1625	650000	672650000	31900000	665570000	I/H	2285
1306	MH09HH1319	UPPER WARDHA	21.27472222	78.05944444	1993	Godavari	Wardha.	Morshi	II	Other	39.9	5920	6500000	678270000	93122000	564050000	I/S/C	13317
13	MH09HH0013	KHADAKWASLA	18.4425	73.76305556	1880	Krishna	Mutha.	Haveli	III	Other	32.9	1539	1170000	860000000	14800000	559100000	I	2775
195	MH09HH0196	GIRNA	18.97527778	76.40666667	1969	Tapi	Girna	Malegaon	III	Other	54.56	963.17	2042000	608450000	55520000	523550000	I/H	8433
49	MH09HH0049	MULSHI	18.52555556	73.50944444	1927	Krishna	Mula	Mulshi	III	Other	48.8	1533.38	618000	752760000	248000	522760000	I/H	1892
934	MH09HH0945	TILLARI (PROJ.)	15.76	74.09055556	1982	West Flowing Rivers from Tapi to Tadri	Tilari	Dodamarg	III	Other	72.50	1313.5	9274000	462170000	17638000	447369000	I/H	7270.00
1757	MH09MH1788	LOWER TAPI	21.18805556	75.00138889		Tapi	Tapi	Amalner	III	Other	29	1876.5	303720	420560000	53890000	407594000	I/S	50881
1821	MH09HH1860	Kalu River Major Project	19.34111111	73.58166667		Krishna	Kalu	Parner	III	Earthfill_Embankment	40.08	2350	5560000	414100000	25700000	401240000		1648
586	MH09HH0592	VIR BAJI PASALKAR	18.38777778	73.61222222	1993	Krishna	mose	Haveli	III	Other	66.60	780	10550000	375360000	24200000	363130000	I/H	1471
1544	MH09HH1558	DIMBHE	19.09666667	73.74416667	2000	Krishna	Ghod River	Ambegon	III	Other	72.1	852	1151230	382050000	17547700	353750000	I/H	2122.0
1826	MH09HH1865	Shai River Major Project	19.39222222	73.67194444		West Flowing Rivers from Tapi to Tadri	Shai	Shahapur	III	Earthfill_Embankment	53.60	730	4993000	372156000	30118000	353410000		6977
43	MH09HH0043	THOKARWADI	18.86611111	73.56805556	1922	Krishna	Indrayani	Maval	III	Other	59.44	741	212000	363700000	124320	352640000	H	546
1540	MH09HH1554	NIRADEVGHAR	18.10333333	73.72138889	2008	Krishna	Nira	Bhor	IV	Earthfill_Embankment	58.53	2330	99380	337390000	151800000	332126000	I/H	1852.00
382	MH09HH0384	UPPER VAITARANA	19.81527778	73.54277778	1973	West Flowing Rivers from Tapi to Tadri	vaitarna and alwandi	Igatpuri.	III	Other	41	2531	1520000	353960000	37130000	331310000	I/H	1440.00
648	MH09HH0655	DHOM	17.98138889	73.81722222	1977	Krishna	Krishna	Wai	IV	Other	50	2478.00	6335000	382320000	24980000	331050000	I/H	1178.00
225	MH09MH0227	ITIADOH DAM	20.80166667	80.16777778	1970	Godavari	gadvi	Morgaon	II	Earthfill_Embankment	29.85	541.5	911000	381590000	46910000	317870000	I/H	1653.73
1161	MH09HH1174	MAJALGAON	19.16055556	76.185	1987	Godavari	Sindphana	Majalgaon	II	Other	31.19	6488	13410000	453640000	78130000	311340000	I/H	14500.00
47	MH09HH0047	BHANDARDARA	19.54638889	73.7575	1926	Godavari	Paravara.	Akole	III	Other	82.35	2717.00	674000	312600000	743180	304100000	I/H	1503
2099	MH09HH2138	Bembla	20.58333333	78.10555556	2007	Godavari	Bembla	Babhulgaon	II	Earthfill_Embankment	35.80	297	3722940	322068000	89671000	302670000	I	17224
308	MH09HH0310	TANAJISAGAR (PANSHET)	18.37888889	73.61111111	1972	Krishna	Ambi	Velhe	III	Other	59.94	1039	4190000	310610000	15645000	301610000	I/S	1359
2189	MH09HH2228	Jigaon	20.94944444	76.37416667		Tapi	Purna	Nandura	II	Earthfill_Embankment	32.25	8240		736579000		297723000		28620
1048	MH09HH1060	MANIKDOH	19.23555556	73.81361111	2005	Krishna	Kukadi	Junnar	III	Other	50.36	930.00	596000	307910000	18434000	288100000	I/H	1439.00
1761	MH09HH1792	TALAMBA	16.04166667	73.89		West Flowing Rivers from Tapi to Tadri	Karli	Orosbudrukh	III	Earthfill_Embankment	58.35	3020	7343000	308750000	20773300	285630000	I	3404
